Asal,Tujuan,Jarak,Waktu,KonfirmasiCovid
Puskesmas,SerdangWetan,5.2,11,340
Puskesmas,Palasari,4.4,16,169
Puskesmas,Rancagong,4.1,11,294
Puskesmas,Legok,2.3,7,732
Puskesmas,Babakan,0.02,1,368
SerdangWetan,Puskesmas,5.3,11,0
SerdangWetan,Palasari,4.7,13,0.497058824
SerdangWetan,Rancagong,3.2,9,0.864705882
SerdangWetan,Legok,4,10,2.152941176
SerdangWetan,Babakan,5.3,11,1.082352941
Palasari,Puskesmas,4.4,16,0
Palasari,SerdangWetan,4.7,13,2.01183432
Palasari,Rancagong,4.8,14,1.73964497
Palasari,Legok,4.2,13,4.331360947
Palasari,Babakan,2.8,10,2.177514793
Rancagong,Puskesmas,4.1,11,0
Rancagong,SerdangWetan,3.2,9,1.156462585
Rancagong,Palasari,4.8,14,0.574829932
Rancagong,Legok,2.2,8,2.489795918
Rancagong,Babakan,4.1,11,1.25170068
Legok,Puskesmas,1.9,7,0
Legok,SerdangWetan,4,9,0.464480874
Legok,Palasari,4.2,15,0.230874317
Legok,Rancagong,2.2,8,0.401639344
Legok,Babakan,2.3,6,0.50273224
Babakan,Puskesmas,0.02,1,0
Babakan,SerdangWetan,5.3,11,0.923913044
Babakan,Palasari,2.8,10,0.45923913
Babakan,Rancagong,4.1,11,0.798913044
Babakan,Legok,2,8,1.989130435
