,Iteration,Source,0,1,2,3,4,5
0,0.0,0,0.85,0.85,0.85,0.85,0.85,-0.21
1,0.0,1,0.85,0.85,0.64,0.64,0.65,0.85
2,0.0,2,0.85,0.7,0.85,0.37,0.63,0.85
3,0.0,3,0.85,0.48,0.78,0.85,0.57,0.85
4,0.0,4,0.85,0.36,0.65,0.54,0.85,0.85
5,0.0,5,0.85,0.78,0.27,0.79,0.5,0.85
6,1.0,0,0.85,0.85,0.85,0.74,0.85,-0.09
7,1.0,1,0.85,0.85,0.49,0.5,0.73,0.85
8,1.0,2,0.85,0.44,0.85,0.79,0.57,0.85
9,1.0,3,0.85,0.46,0.79,0.85,0.5,0.8
10,1.0,4,0.85,0.72,0.71,0.45,0.85,0.79
11,1.0,5,0.85,0.73,0.35,0.72,0.55,0.85
12,2.0,0,0.85,0.85,0.85,0.79,0.85,-0.16
13,2.0,1,0.85,0.85,0.48,0.63,0.72,0.85
14,2.0,2,0.85,0.57,0.85,0.64,0.7,0.79
15,2.0,3,0.85,0.26,0.79,0.85,0.64,0.85
16,2.0,4,0.85,0.72,0.44,0.46,0.85,0.85
17,2.0,5,0.85,0.79,0.62,0.65,0.27,0.85
18,3.0,0,0.85,0.85,0.85,0.85,0.85,-0.19
19,3.0,1,0.85,0.85,0.57,0.58,0.72,0.85
20,3.0,2,0.85,0.57,0.85,0.52,0.71,0.85
21,3.0,3,0.85,0.62,0.58,0.85,0.65,0.85
22,3.0,4,0.85,0.44,0.59,0.54,0.85,0.85
23,3.0,5,0.85,0.74,0.62,0.72,0.28,0.85
24,4.0,0,0.85,0.85,0.85,0.85,0.85,-0.15
25,4.0,1,0.85,0.85,0.72,0.71,0.41,0.85
26,4.0,2,0.85,0.57,0.85,0.65,0.71,0.85
27,4.0,3,0.85,0.57,0.6,0.85,0.57,0.85
28,4.0,4,0.85,0.71,0.53,0.44,0.85,0.85
29,4.0,5,0.85,0.54,0.55,0.6,0.71,0.85
30,5.0,0,0.85,0.85,0.85,0.85,0.85,-0.22
31,5.0,1,0.85,0.85,0.68,0.51,0.72,0.85
32,5.0,2,0.85,0.49,0.85,0.71,0.58,0.85
33,5.0,3,0.85,0.6,0.46,0.85,0.71,0.85
34,5.0,4,0.85,0.51,0.71,0.32,0.85,0.85
35,5.0,5,0.85,0.73,0.48,0.79,0.33,0.85
36,6.0,0,0.85,0.85,0.85,0.8,0.85,-0.11
37,6.0,1,0.85,0.85,0.8,0.35,0.73,0.85
38,6.0,2,0.85,0.49,0.85,0.58,0.73,0.85
39,6.0,3,0.85,0.78,0.52,0.85,0.51,0.85
40,6.0,4,0.85,0.45,0.52,0.78,0.85,0.8
41,6.0,5,0.85,0.67,0.56,0.73,0.42,0.85
42,7.0,0,0.85,0.85,0.85,0.85,0.85,-0.14
43,7.0,1,0.85,0.85,0.71,0.65,0.63,0.85
44,7.0,2,0.85,0.65,0.85,0.47,0.59,0.85
45,7.0,3,0.85,0.69,0.53,0.85,0.63,0.85
46,7.0,4,0.85,0.5,0.62,0.55,0.85,0.85
47,7.0,5,0.85,0.57,0.55,0.73,0.55,0.85
48,8.0,0,0.85,0.85,0.85,0.85,0.8,-0.09
49,8.0,1,0.85,0.85,0.61,0.63,0.69,0.85
50,8.0,2,0.85,0.49,0.85,0.51,0.64,0.85
51,8.0,3,0.85,0.71,0.56,0.85,0.71,0.8
52,8.0,4,0.85,0.53,0.62,0.55,0.85,0.85
53,8.0,5,0.85,0.69,0.62,0.72,0.43,0.85
54,9.0,0,0.85,0.85,0.85,0.85,0.85,-0.2
55,9.0,1,0.85,0.85,0.49,0.57,0.72,0.85
56,9.0,2,0.85,0.5,0.85,0.72,0.64,0.85
57,9.0,3,0.85,0.47,0.79,0.85,0.58,0.85
58,9.0,4,0.85,0.65,0.44,0.47,0.85,0.85
59,9.0,5,0.85,0.72,0.63,0.59,0.41,0.85
60,10.0,0,0.85,0.85,0.85,0.85,0.85,-0.2
61,10.0,1,0.85,0.85,0.54,0.52,0.74,0.85
62,10.0,2,0.85,0.58,0.85,0.73,0.71,0.85
63,10.0,3,0.85,0.45,0.59,0.85,0.58,0.85
64,10.0,4,0.85,0.71,0.45,0.45,0.85,0.85
65,10.0,5,0.85,0.6,0.77,0.66,0.32,0.85
66,11.0,0,0.85,0.85,0.85,0.85,0.85,-0.27
67,11.0,1,0.85,0.85,0.54,0.42,0.7,0.85
68,11.0,2,0.85,0.41,0.85,0.78,0.7,0.85
69,11.0,3,0.85,0.45,0.71,0.85,0.56,0.85
70,11.0,4,0.85,0.64,0.64,0.3,0.85,0.85
71,11.0,5,0.85,0.78,0.4,0.78,0.32,0.85
72,12.0,0,0.85,0.85,0.85,0.85,0.85,-0.16
73,12.0,1,0.85,0.85,0.79,0.49,0.47,0.85
74,12.0,2,0.85,0.58,0.85,0.71,0.57,0.85
75,12.0,3,0.85,0.44,0.6,0.85,0.71,0.85
76,12.0,4,0.85,0.64,0.51,0.65,0.85,0.85
77,12.0,5,0.85,0.73,0.48,0.54,0.64,0.85
78,13.0,0,0.85,0.85,0.85,0.85,0.85,-0.21
79,13.0,1,0.85,0.85,0.62,0.44,0.79,0.85
80,13.0,2,0.85,0.78,0.85,0.71,0.44,0.85
81,13.0,3,0.85,0.46,0.46,0.85,0.71,0.85
82,13.0,4,0.85,0.36,0.78,0.46,0.85,0.85
83,13.0,5,0.85,0.73,0.47,0.73,0.4,0.85
84,14.0,0,0.85,0.85,0.85,0.85,0.85,-0.19
85,14.0,1,0.85,0.85,0.72,0.5,0.58,0.85
86,14.0,2,0.85,0.49,0.85,0.71,0.71,0.85
87,14.0,3,0.85,0.77,0.38,0.85,0.57,0.85
88,14.0,4,0.85,0.43,0.78,0.43,0.85,0.85
89,14.0,5,0.85,0.67,0.47,0.72,0.5,0.85
90,15.0,0,0.85,0.8,0.85,0.79,0.85,-0.08
91,15.0,1,0.85,0.85,0.71,0.63,0.66,0.8
92,15.0,2,0.85,0.56,0.85,0.46,0.77,0.79
93,15.0,3,0.85,0.62,0.64,0.85,0.45,0.85
94,15.0,4,0.85,0.51,0.65,0.48,0.85,0.85
95,15.0,5,0.85,0.73,0.35,0.85,0.48,0.85
96,16.0,0,0.85,0.85,0.85,0.85,0.85,-0.21
97,16.0,1,0.85,0.85,0.41,0.77,0.65,0.85
98,16.0,2,0.85,0.42,0.85,0.52,0.79,0.85
99,16.0,3,0.85,0.6,0.78,0.85,0.5,0.85
100,16.0,4,0.85,0.58,0.66,0.32,0.85,0.85
101,16.0,5,0.85,0.73,0.48,0.72,0.4,0.85
102,17.0,0,0.85,0.85,0.85,0.85,0.85,-0.2
103,17.0,1,0.85,0.85,0.64,0.5,0.79,0.85
104,17.0,2,0.85,0.64,0.85,0.64,0.64,0.85
105,17.0,3,0.85,0.41,0.57,0.85,0.65,0.85
106,17.0,4,0.85,0.57,0.44,0.55,0.85,0.85
107,17.0,5,0.85,0.72,0.7,0.66,0.27,0.85
108,18.0,0,0.85,0.85,0.85,0.8,0.85,-0.09
109,18.0,1,0.85,0.85,0.72,0.71,0.6,0.85
110,18.0,2,0.85,0.51,0.85,0.71,0.59,0.85
111,18.0,3,0.85,0.71,0.42,0.85,0.64,0.85
112,18.0,4,0.85,0.47,0.65,0.49,0.85,0.8
113,18.0,5,0.85,0.72,0.62,0.54,0.57,0.85
114,19.0,0,0.85,0.8,0.85,0.85,0.85,-0.15
115,19.0,1,0.85,0.85,0.62,0.56,0.51,0.8
116,19.0,2,0.85,0.56,0.85,0.71,0.77,0.85
117,19.0,3,0.85,0.47,0.6,0.85,0.64,0.85
118,19.0,4,0.85,0.71,0.64,0.28,0.85,0.85
119,19.0,5,0.85,0.66,0.48,0.78,0.42,0.85
120,20.0,0,0.85,0.85,0.85,0.85,0.85,-0.22
121,20.0,1,0.85,0.85,0.62,0.63,0.59,0.85
122,20.0,2,0.85,0.56,0.85,0.49,0.79,0.85
123,20.0,3,0.85,0.56,0.65,0.85,0.42,0.85
124,20.0,4,0.85,0.56,0.71,0.42,0.85,0.85
125,20.0,5,0.85,0.66,0.34,0.79,0.54,0.85
126,21.0,0,0.85,0.85,0.85,0.85,0.85,-0.2
127,21.0,1,0.85,0.85,0.71,0.64,0.64,0.85
128,21.0,2,0.85,0.37,0.85,0.57,0.64,0.85
129,21.0,3,0.85,0.49,0.85,0.85,0.44,0.85
130,21.0,4,0.85,0.63,0.45,0.61,0.85,0.85
131,21.0,5,0.85,0.85,0.35,0.53,0.63,0.85
132,22.0,0,0.85,0.85,0.85,0.85,0.8,-0.11
133,22.0,1,0.85,0.85,0.72,0.47,0.66,0.85
134,22.0,2,0.85,0.7,0.85,0.67,0.38,0.85
135,22.0,3,0.85,0.47,0.53,0.85,0.85,0.85
136,22.0,4,0.85,0.64,0.66,0.46,0.85,0.8
137,22.0,5,0.85,0.57,0.48,0.79,0.55,0.85
138,23.0,0,0.85,0.8,0.85,0.85,0.85,-0.13
139,23.0,1,0.85,0.85,0.41,0.63,0.6,0.8
140,23.0,2,0.85,0.63,0.85,0.66,0.78,0.85
141,23.0,3,0.85,0.47,0.6,0.85,0.65,0.85
142,23.0,4,0.85,0.65,0.71,0.36,0.85,0.85
143,23.0,5,0.85,0.67,0.63,0.72,0.34,0.85
144,24.0,0,0.85,0.85,0.85,0.85,0.85,-0.21
145,24.0,1,0.85,0.85,0.41,0.65,0.79,0.85
146,24.0,2,0.85,0.78,0.85,0.58,0.64,0.85
147,24.0,3,0.85,0.38,0.66,0.85,0.52,0.85
148,24.0,4,0.85,0.5,0.64,0.46,0.85,0.85
149,24.0,5,0.85,0.67,0.63,0.65,0.39,0.85
150,25.0,0,0.85,0.85,0.85,0.85,0.85,-0.18
151,25.0,1,0.85,0.85,0.42,0.7,0.55,0.85
152,25.0,2,0.85,0.57,0.85,0.74,0.65,0.85
153,25.0,3,0.85,0.27,0.66,0.85,0.71,0.85
154,25.0,4,0.85,0.85,0.6,0.39,0.85,0.85
155,25.0,5,0.85,0.68,0.69,0.54,0.46,0.85
156,26.0,0,0.85,0.8,0.85,0.85,0.85,-0.11
157,26.0,1,0.85,0.85,0.63,0.78,0.67,0.8
158,26.0,2,0.85,0.44,0.85,0.8,0.64,0.85
159,26.0,3,0.85,0.62,0.45,0.85,0.59,0.85
160,26.0,4,0.85,0.59,0.61,0.41,0.85,0.85
161,26.0,5,0.85,0.79,0.7,0.41,0.5,0.85
162,27.0,0,0.85,0.79,0.85,0.85,0.85,-0.1
163,27.0,1,0.85,0.85,0.58,0.58,0.59,0.85
164,27.0,2,0.85,0.58,0.85,0.65,0.79,0.79
165,27.0,3,0.85,0.64,0.58,0.85,0.46,0.85
166,27.0,4,0.85,0.57,0.6,0.56,0.85,0.85
167,27.0,5,0.85,0.66,0.64,0.6,0.55,0.85
168,28.0,0,0.85,0.85,0.85,0.85,0.79,-0.08
169,28.0,1,0.85,0.85,0.37,0.71,0.61,0.85
170,28.0,2,0.85,0.67,0.85,0.46,0.65,0.85
171,28.0,3,0.85,0.49,0.68,0.85,0.79,0.79
172,28.0,4,0.85,0.52,0.78,0.56,0.85,0.85
173,28.0,5,0.85,0.73,0.58,0.67,0.42,0.85
174,29.0,0,0.85,0.8,0.85,0.85,0.73,-0.01
175,29.0,1,0.85,0.85,0.71,0.45,0.72,0.85
176,29.0,2,0.85,0.43,0.85,0.72,0.72,0.79
177,29.0,3,0.85,0.49,0.71,0.85,0.43,0.8
178,29.0,4,0.85,0.71,0.53,0.69,0.85,0.79
179,29.0,5,0.85,0.79,0.43,0.53,0.62,0.85
180,30.0,0,0.85,0.85,0.85,0.85,0.85,-0.22
181,30.0,1,0.85,0.85,0.62,0.58,0.6,0.85
182,30.0,2,0.85,0.71,0.85,0.66,0.48,0.85
183,30.0,3,0.85,0.38,0.66,0.85,0.78,0.85
184,30.0,4,0.85,0.57,0.66,0.31,0.85,0.85
185,30.0,5,0.85,0.68,0.39,0.79,0.48,0.85
186,31.0,0,0.85,0.85,0.85,0.85,0.85,-0.23
187,31.0,1,0.85,0.85,0.62,0.78,0.79,0.85
188,31.0,2,0.85,0.57,0.85,0.35,0.85,0.85
189,31.0,3,0.85,0.47,0.64,0.85,0.43,0.85
190,31.0,4,0.85,0.49,0.5,0.48,0.85,0.85
191,31.0,5,0.85,0.79,0.56,0.72,0.26,0.85
192,32.0,0,0.85,0.85,0.85,0.85,0.85,-0.21
193,32.0,1,0.85,0.85,0.56,0.48,0.65,0.85
194,32.0,2,0.85,0.49,0.85,0.79,0.65,0.85
195,32.0,3,0.85,0.54,0.59,0.85,0.63,0.85
196,32.0,4,0.85,0.58,0.65,0.41,0.85,0.85
197,32.0,5,0.85,0.73,0.54,0.66,0.41,0.85
198,33.0,0,0.85,0.85,0.85,0.85,0.85,-0.22
199,33.0,1,0.85,0.85,0.42,0.57,0.71,0.85
200,33.0,2,0.85,0.63,0.85,0.58,0.64,0.85
201,33.0,3,0.85,0.47,0.79,0.85,0.5,0.85
202,33.0,4,0.85,0.44,0.71,0.53,0.85,0.85
203,33.0,5,0.85,0.79,0.41,0.65,0.48,0.85
204,34.0,0,0.85,0.85,0.85,0.85,0.85,-0.19
205,34.0,1,0.85,0.85,0.65,0.73,0.58,0.85
206,34.0,2,0.85,0.64,0.85,0.51,0.57,0.85
207,34.0,3,0.85,0.28,0.72,0.85,0.59,0.85
208,34.0,4,0.85,0.78,0.58,0.46,0.85,0.85
209,34.0,5,0.85,0.67,0.41,0.66,0.62,0.85
210,35.0,0,0.85,0.85,0.85,0.85,0.85,-0.24
211,35.0,1,0.85,0.85,0.68,0.56,0.44,0.85
212,35.0,2,0.85,0.56,0.85,0.5,0.7,0.85
213,35.0,3,0.85,0.27,0.85,0.85,0.63,0.85
214,35.0,4,0.85,0.71,0.58,0.46,0.85,0.85
215,35.0,5,0.85,0.78,0.2,0.79,0.54,0.85
216,36.0,0,0.85,0.85,0.85,0.85,0.85,-0.22
217,36.0,1,0.85,0.85,0.41,0.65,0.66,0.85
218,36.0,2,0.85,0.7,0.85,0.65,0.57,0.85
219,36.0,3,0.85,0.31,0.66,0.85,0.71,0.85
220,36.0,4,0.85,0.72,0.72,0.25,0.85,0.85
221,36.0,5,0.85,0.6,0.54,0.79,0.4,0.85
222,37.0,0,0.85,0.85,0.85,0.85,0.85,-0.19
223,37.0,1,0.85,0.85,0.62,0.51,0.72,0.85
224,37.0,2,0.85,0.64,0.85,0.71,0.72,0.85
225,37.0,3,0.85,0.55,0.58,0.85,0.45,0.85
226,37.0,4,0.85,0.65,0.45,0.48,0.85,0.85
227,37.0,5,0.85,0.52,0.71,0.66,0.47,0.85
228,38.0,0,0.85,0.85,0.85,0.85,0.79,-0.12
229,38.0,1,0.85,0.85,0.63,0.79,0.53,0.85
230,38.0,2,0.85,0.78,0.85,0.49,0.77,0.79
231,38.0,3,0.85,0.48,0.55,0.85,0.57,0.85
232,38.0,4,0.85,0.51,0.64,0.37,0.85,0.85
233,38.0,5,0.85,0.6,0.55,0.72,0.56,0.85
234,39.0,0,0.85,0.79,0.85,0.85,0.85,-0.14
235,39.0,1,0.85,0.85,0.68,0.39,0.71,0.85
236,39.0,2,0.85,0.63,0.85,0.78,0.58,0.79
237,39.0,3,0.85,0.47,0.53,0.85,0.72,0.85
238,39.0,4,0.85,0.65,0.51,0.46,0.85,0.85
239,39.0,5,0.85,0.66,0.63,0.73,0.34,0.85
240,40.0,0,0.85,0.8,0.85,0.85,0.8,-0.05
241,40.0,1,0.85,0.85,0.5,0.5,0.8,0.8
242,40.0,2,0.85,0.64,0.85,0.69,0.66,0.85
243,40.0,3,0.85,0.62,0.58,0.85,0.6,0.85
244,40.0,4,0.85,0.46,0.59,0.61,0.85,0.8
245,40.0,5,0.85,0.73,0.73,0.6,0.4,0.85
246,41.0,0,0.85,0.85,0.85,0.85,0.85,-0.22
247,41.0,1,0.85,0.85,0.7,0.49,0.66,0.85
248,41.0,2,0.85,0.41,0.85,0.72,0.77,0.85
249,41.0,3,0.85,0.56,0.28,0.85,0.77,0.85
250,41.0,4,0.85,0.57,0.71,0.33,0.85,0.85
